HotelName,HotelAddress,HotelRating,ReviewDate,ReviewTitle,ReviewRating,Positive,Negative
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2018-8,강력 추천,10,"서울시내가 내려다 보이는 풍광이 일품이다.
타 편의시설 접근성이 매우 용이하다.
엘베 타고 내려가면 롯데 잠실/제2월드고,
도보로 15분 거리에 먹자 골목이 있어서 좋다",피트니스에 딸린 사우나는 롯데월드만 못했다.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,강력 추천,10,뷰가 좋습니다 이걸로 끝,가격이 사악함
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,강력 추천,10,"전반적으로 모두 좋았습니다. 부담스럽지 않지만 친절함을 충분히 느낄 수 있었고, 세심한 서비스가 인상 깊었습니다.","룸 내부 체크가 좀 더 면밀하고, 작은 부분까지 이루어졌으면 합니다.
데스크 위의 작은 메모장까지 체크 해주셨으면 합니다. 묵었던 룸의 데스크 내부 안내 책자도 찢어져있는지 확인 부탁드립니다."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,매우만족,10,"깨끗하고 안락한 숙소에서 잘쉬었습니다~
초고층이라 주변이 너무나 조용해서 좋았고,
직원분들도 엄청 친절하셧어요.",방에 체어가 1인용뿐이라 조금 아쉬웟습니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,강력 추천,10,"침구말고는 다 좋았습니다. 가성비가 있다고는 못하지만 호텔 시설이나 규모, 친절함 등을 생각할 때 터무니없는 가격이라고 생각되지 않습니다. 사람에 따라서는 가성비가 있다고 생각할 수도 있겠네요.","침구가 기대보다는 편하지 않았습니다. 
조식이 동급 호텔만큼 다양하지는 않습니다. (퀄리티는 괜찮습니다.)"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,다시 가고 싶은 휴식처,10,"조식 훌륭 세계적으로..
깨끗
따뜻한 서비스",없음
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,최고,9.0,날씨가 좋으면 더욱이 좋은 장소.,"시그니엘 오는 사람들이 먹을 게 아쉬운 사람들은 없겠지만, 라운지 무료 이용은 과자 두개 올려놓고 먹을거없음. 괜히 서비스랍시고 했지만 욕만 먹을뿐. 안하느니만 못함.
다른 호텔 라운지랑 너~~~무 비교됨.
차라리 돈을 받고 운영하면서 질을 높이시길."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,최고,9.0,신혼여행이라 미리 말씀드리니 룸 업그레이드해주셨습니다,방으로 갖다주는 조식은 너무 별루...
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,강력 추천,10,"역대급 호텔이었어요! 너무너무 좋아요! 역시 비싼덴 다 이유가 있나봐요. 조식도 먹어본 조식중에 가장 퀄리티있고 알찼습니다! 
다만 유아 동반이면 좀 힘들것 같아요.",d
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-2,추천! 추천! 최고추천!,10,d,주차장 위치가 많이 헷갈려서 고생했습니다. 다음에는 호텔과 가까운 주차장 위치를 알려주면 좋을거 같아요
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,최고,9.0,최상급 호텔답게 직원분들의 친절도 최고였습니다.,"없었습니다!!!
다만 흡연자 분들은 흡연실까지 거리가 멀어서 불편할 수도 있어요!"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,만족스러운 1박 보냈습니다.,9.0,"뷰가 아주 좋았습니다. 직원들이 너무 친절하였습니다.
주차도 체크아웃하고 밤 11시까지 할 수 있도록 되어 있어 쇼핑이나 주변 산책하기 좋았습니다.","시그니엘 라운지는 정말 아쉽네요. 
알고 갔지만 그래도 뭐 조금이라도 더 있으면 좋겠어요"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,강력 추천,10,"역시 시그니엘은 뷰값인 것 같아요. 
룸서비스와 어메니티도 좋았습니다.
지하 쇼핑몰과 연결되어 있어서 롯데마트에서 이것저것 살 수 있었던 것도 좋아요",클럽 라운지의 스낵이 너무 부실하고 샴페인도 별루였다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,최고,9.0,아침식사가 아주 훌륭했고 직원들의 서비스가 최상이었다,아쉬운점은 주차장에서 호텔입구 올라가는게 은근 복잡합니다.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,롯데 시그니엘,10,너무 친절해요 진짜 서비스는 감동이예요. 조식도 아주 만족했습니다~~,날씨가 조금 안좋아 뷰를 더잘보려면 날씨좋고 미세먼지 없는날을 추천드립니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,만족한 호캉스,10,"뷰가 너무 좋았고 침대가 푹신하고 너무좋았네요
직원들의 서비스도 정말 좋았습니다","1. 금액에 비해, 방 크기가 생각보다는 작았어요
2. 화장실 변기있는 곳에 냄새가 좀 났어요 은은한 향의 디퓨저 하나 놔주시면 좋을거 같아요 ^^"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,좋은곳에서 추억남기고 갑니다,10,"1. 체크인시 직원분이 친절하게 설명해주시고 안내해주셨어요
방 업그레이드 문의했는데 빨리 처리해주셨어요
2. 비용 추가해서 전망욕실 사용했는데 날씨가 좋아서 주간뷰, 야간뷰가 너무 이뻤어요 만족합니다!!
3. 침구류가 너무 편해서 숙면했어요
4. 조식 메뉴중에 다른 호텔에서는 못 먹어본 다양한 음식들 있어서 좋았어요 (치즈 다양, 견과류 다양)",없어요~
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,잠실 시그니엘호텔 전망욕실 너무 좋아요,8.0,"직원분들이 너무 좋으셔서 잘 놀다 갑니다.
친절하시고 대접 받는느낌이 넘 좋네요 ㅠ","조식 음식종류가 너무 적어 먹을게 없다는 느낌... 어차피 조식이니까 그렇게 과할 건 없지만... 너무 간단했음
룸서비스 음식종류도 다른 호텔보다 적어서... 선택하기가 힘들었고..."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,강력 추천,10,88층 한강뷰에 묵었는데 뷰면에서 너무 좋았던... 야경은 잊지 못할듯 하루정도 하늘속 여행을 한느낌이랄까,전혀 없습니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,롯데 시그니엘 88층 호캉스 후기,8.0,"깨끗하고 부드러운 침구, 딥티크 어메니티, 직원의 객실 안내 서비스와 객실에서 보이는 전망이 최고였습니다",더 있고 싶었어요.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,서울 최고의 호텔,10,스탭분들이...모랄까...몬가 자부심이 느껴지는 서비스?? 이런건 정말 오랜만에 느껴 보았습니다. 재방문 의사 100% 입니다.,특별이 없습니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,강력 추천,10,시설도 시설이지만 저녁에 한눈에 보이는 서울 야경이 나무 멋있음,없음
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,저녁 뷰가 최고,10,뷰가 너무 좋고 직원이 친절함,5성급 호텔이라고 해도 가격은 좀 비싼거 같습니다. 그리고 룸 구조는 공간의 효율성 측면에서 조금 아쉬운거 같습니다.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,최고,9.0,깔끔하고 친절햇어요,코로나로 헬스장과 수영장 이용 못한게 아쉽네요
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,좋앗어요,10,전반적으로 만족스러웠습니다. 97층에서 바라본 전경도 좋았고 룸도 청결했습니다. 그리고 직원분들이 매우 친절해서 인상깊었습니다.,"흡연실ㅠ 
외부로 나갈때 미로처럼 어렵드라고요~~~ 
갈때 가더라도 안내판 한개정도는 해도 좋치않을까요 ^^~~"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,시그니엘 하루숙박,8.0,뷰는 말이 필요 없습니다,79층 라운지에서 즐길수있는 음식수가 많았으면 좋겠다.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2021-1,강력 추천,10,"깔끔.분위기업~~
매우 좋았습니다.","조식뷔페에 식사 메뉴는 별로 없다고 느낌.
디저트, 과일 종류는 많고 대충 봐도 좋아 보임."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,전망이 좋았다,호텔측 문제는 아니지만 사회적 상황으로 부대 시설을 이용할 수 없는 점이 아쉬웠다.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,"럭셔리, 로맨틱 그 자체","코로나 거리두기 단계 격상으로 인해
수영장을 이용하지 못한 것이 너무 아쉬워요
저녁 방 청소 서비스를 받았을 때
 사용중이던 와인잔을 치우고
다시 채워주지 않아서 조금 불편했습니다"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,"정말 서비스 최고 만족도 최고 입니다.
덕분에 최고의 하루를 보냈습니다.
직원분들 힘들실텐데 기운 내세요!!",개선할 부분은 느끼지 못했습니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,최고의 하루,10,"모든 직원들이 환대해줘서 기뻤다.
요구사항에 바로 정확하게 응대해주었다.",라운지 메뉴 보강
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,편안한 시간이었습니다,10,"라운지 이용이 너무 좋았고
객실 전망 업그래이드를
좋은 가격에 제공받아
기분 좋게 잘 이용하고 왔습니다",시그니엘 로비 까지 올라가기 어려움 처음 가는 손님이 어려울거 같아요
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,너무 편하게 잘 쉬다 왔습니다,10,조식은 별로였습니다 비추,코로나로 사우나 못해서 아쉬웠어요~~
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,최고,9.0,아름다운 뷰에 청결함까지 더이상 말 필요 있나요 음식도 조식도 최고예요,전망욕조 추가했는데 습기가차서 욕조안에선 밖이 잘 안보여요
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,"체크인 시간보다 조금 더 일찍 도착했는데 빠르게 체크인 진행 도와주셔서 너무 감동이였어요. 체크인 하고나서 준비해주신 웰컴티 서비스도 좋은 추억이고, 직원분들 모두가 너무 친절하시고 꼼꼼하셔요^^ 조식도 얼마나 성의",10,뷰 직원들 응대 친절함,"뷰가 미세먼지/비오는날 제외하고 
호텔내 개선점은 없어요"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,매우 좋음,8.0,조식도 깔끔하고 친철하고 C/S교육이 완벽하게 되어있는 시그니엘 직원분들 정말 대접 받는 기분으로 돈이 안아까웠습니다 항상 똑같은 서비스를 해주시면 좋을거 같습니다.,-
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,"뷰맛집, 적극적인 문제 해결 능력, 친절과 청결 최고",라운지 이용
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,조식 너무 맛있었어요^^,"어쩔수 없는 부분이지만 코로나로 못쓰는 시설이 많았고, 지하 주차장에서 호텔로 가기 쉬운 자리를 안내해 주면
좋지 않았을까하는 바램이 있다. 워낙 넓은 주차장이라....."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,"야경은 이세상 야경이 아니었고 최고였습니다 
룸서비스로 주문한 빵도 맛있었습니다 강추해요",코로나로 수영장 이용 못한게 아쉬움
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,뷰 침구 룸서비스 욕실 모두 매우만족합니다.,룸서비스에 남들 후기에 있는 꽃이 없었다. 꽃 저도 좋아해요..
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,매우 좋음,8.0,"코로나 시국에 한 해가 이렇게 가는게 너무 아쉬워서 몇 달 전에 예약한 시그니엘을 드디어 다녀왔습니다.
가기 전부터 기대를 많이했었지만 정말 상상이상으로 좋았어요. 일단 체크인 시간보다 좀 많이 이르게 도착했는데 체크인 과정을 도와주셨고 룸 업그레이드도 현장에서 했습니다. 그리고 관련 안내사항을 다 듣고 예정시간에 체크인을 해서 룸 안으로 들어가서 본 경치와 룸의 상태는 정말 최고였습니다. 웰컴 티도 요청해서 받고 저희가 필요한 부분 말씀드리면 친절히 도와주셨어요. 
조식은 타인들과 접촉을 최소한으로 하고싶어서 룸서비스로 부탁드렸고 저희가 원했던 시간에 딱 맞춰서 와주셨어요. 그래서 더욱 여유롭게 안전하게 만족스러운 식사를 할 수 있었습니다. 다음에도 꼭 방문하고싶은 곳이에요! 좋은 기억 가지고 갑니다 :D",사람이 많아서 라운지는 기다려야하고 체크인도 오래걸렷어요.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,제대로 힐링하고 갑니다~,10,너무 좋았습니다! 기대 이상이었어요,가격이 조금비쌌어요!
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,역대급 호텔,10,"친절한 직원, 뷰","가족을 위한 객실이 따로 없어서 3명이서 객실 두개 잡았습니다.
라운지에서 제공하는 다과들의 종류가 조금 부실하고, 라운지 내 회의실 자리까지 내주시는거는 안하느니만 못한거같습니다..."
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-11,최고,9.0,다른 호텔보다 서비스면에서 좋은거 같았다. 체크인 체크아웃도 신경써 주고 전화 응대도 고객 이름을 불러주면서 친절했다. 서비스의 시스템화가 아주 잘 되어있었다.,침구가 생각보다 편하지 않아서 꿀 잠을 못 잤습니다
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,강력 추천,10,최고의 럭셔리 호텔!,"라운지 이용이나 조식이 평일에도 불구하고 대기가 있었음
특히 라운지 이용은 5시에 딱 갔는데도 한강뷰는 이미 다 차있더라구용~~ 참고하세요"
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-9,강력 추천,10,"위치도 좋고, 특히 뷰가 너무 이뻤어요!!!!
직원분들도 친절하시구~! 숙소 체크인하고, 웰컴티 같은 것도 주셨는데 너무 좋았습니다.
코로나 때문에 수영장이나 스파를 이용 못해서 아쉽지만, 전망대 뷰도 좋아요!! 모두 다 좋네요 ㅎㅎㅎ
담에 또 투숙할 예정입니다!",솔직히 없었고... 날씨가 아쉬웠어요...
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-12,완전 굿입니다.,10,"올려준 케이크가 예쁜데다 안에 과즙이 넘치고 시트도 부드럽고 존맛이다.
스파 관리사님이 전반적인 신라호텔 직원을 떠올리게 했다..굉장히 편안하게 배려해주고, 실력있고. 
룸쇼 설명이 좋았다..미처 알지못한 부분도 거기서 알게 됨.
뷰와 시설이 눈물날정도로 아름답다.",9/28부킹시 기념일이라고 남겼었고 케익 제공해주신다고 하셔서 따로 준비를 안했었는데 제공안되어 문의하니 사전에 예약을 했는지 생일 당일이어야 제공된다고 하셔서 조금 당혹스러웠습니다. 디테일에 조금 더 신경싸주셨으면 해요.
호텔 시그니엘,"서울, 송파구 올림픽로 300",9.2,2020-11,다시 돌아갈래ㅠㅠ,10,위치 좋고 라운지도 좋아요 뷰 끝나ㅐ주고 깨끗함 ㅎ,없습니다
