,HotelName,HotelAddress,HotelRating,ReviewDate,ReviewRating,ReviewTitle,ReviewText
0,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,가격대비 만족합니다^^,룸컨디션도깔끔하구 방도 넓어서 좋아요 ㅎㅎㅎㅎ 친구들이랑 놀기에 최고 ^^!!!
1,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,6.8,좋은 위치와 편안한 객실,좋은 위치와 편안한 객실 그러나 일부 직원들의 서비스는 많이 아쉽습니다
3,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,깨끗하고 조용하고 주차가 편리합니다,깨끗하고 조용하고 주차가 편리합니다
4,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,조아요,잘있다 왔네요 만족스럽습니다
5,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,8.0,시설은 오래된 듯...,현대식 시설은 아닙니다ㅡ.
6,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,8.4,업무용 적합한 레지던스,중심가에서 업무 보는데 위치가 좋습니다
7,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,8.4,중심가 비지니스 위치 적합,가족여행 보다는 비지니스용으로 적합한 레지던스입니다...객실 내부 시설이 좀 오래 되었으나 위치는 업무 보기 좋습니다
8,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,명절여행,"두번째방문에,투고박스로예약해서,맛있는식사로더더욱조았네요ㅋㅋ다음방문땐다른메뉴로하려고요~~주변관광도역시조았어요!!"
9,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,9.2,다 좋았는데 한가지..,화장실 수압이 너무 심하게 약해요 그거 외엔 친절하시고 깨끗했어요 ㅎㅎ
10,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,예약잘못함,예약잘못했는데 취소안됨
11,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,혼자 쓰기좋았어요,아빠 대신 예약해드렸는데 혼자쓰기좋으셨ㄷㅐ요
12,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,좋아요.,방이 넓어서 좋아요.
13,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,좋아요.,히터가 아니 온돌로 난방해서 좋아요.
14,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,10.0,좋아요,서울 방문시 이용합니다. 위치도 좋아요.
15,서머셋팰리스 서울,서울특별시 종로구 율곡로2길 7,8.9,2021-02,2.8,서머셋 호텔,조망이 예전 같지 않아요 북쪽으로 보이던 멋진 조망이 건물이 새로 들어서서 다 망쳐놨어요 오래된 호텔이라는 점도 생각하시고 예약하세요
